Coordinate,Address
"43.40646143866417, -96.70745960090649",31986 475th Ave Not in a city Union South Dakota
"38.8068133049573, -77.08556331279284",3200 Colvin Street Not in a city Alexandria City Virginia
"41.87775147381762, -87.63493167584078",321 S. FRANKLIN Chicago Cook Illinois
"38.46634197747051, -82.62148413178909",32ND & RAILROAD STS. Ashland Boyd Kentucky
"32.70965716033255, -117.15382366082042","330A 12TH AVE., SAN DIEGO, CA. 92112 San Diego San Diego California"
"38.768425908692016, -90.28833797410526",3400 PERSHALL ROAD Ferguson Saint Louis Missouri
"36.781958631224214, -119.77293878952212","3425 N FIRST ST, FRESNO Fresno Fresno California"
"36.15999572691124, -95.97532901838008",3520 1/2 N. PEORIA Tulsa Tulsa Oklahoma
"43.65961966032101, -70.26962206042332","356 State Street, Portland,  Maine Portland Cumberland Maine"
"40.72147323452984, -74.19322831635886",360 Clinton Avenue Newark Essex New Jersey
"33.842242573070806, -118.19209464543918","3648 N. LONG BEACH BLVD., LONG BEACH Long Beach Los Angeles California"
"36.7854233160235, -119.77309508766751","3727 N FIRST ST, FRESNO Fresno Fresno California"
"34.44527997975695, -119.82969056076494","380 N FAIRVIEW AVENUE, GOLETA Goleta Santa Barbara California"
"35.856925387796366, -78.57643951653594",3801 SPRING FOREST RD. Raleigh Wake North Carolina
"30.3551804092754, -97.76140120507276",3824 North Hills Drive Austin Travis Texas
"32.945856620654595, -79.66281856462804",390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain] Not in a city Charleston South Carolina
"32.29527039536475, -110.9827751608332",400 W RIVER ROAD Tucson Pima Arizona
"47.56789906797098, -122.30692546850615",4103 BEACON HILL S Seattle King Washington
"38.89561007619972, -76.95851854526424","420 34th Street N.E.,Washington, DC 20019 Washington District of Columbia District Of Columbia"
"36.1415326925398, -115.08207004536258",4250 Karen Ave Sunrise Manor Clark Nevada
"46.93431635372374, -96.86108555952715",4266 40TH AVE NORTH Not in a city Cass North Dakota
"31.653371663110345, -97.07032171667107",4472 Mazanec Rd Waco McLennan Texas
"29.66966879741177, -95.12774628974675",4514 1/2 Durant St Deer Park Harris Texas
"33.50383068311651, -112.09590087614089",4530 N 17TH AVENUE Phoenix Maricopa Arizona
"39.779020087149526, -105.00476877406756",4545 Navajo St. Denver Denver Colorado
"35.13498088711619, -106.58537537423307",4700A SAN MATEO NE Albuquerque Bernalillo New Mexico
"43.60045789106615, -96.78145083158934",4801 N Career Ave Sioux Falls Minnehaha South Dakota
"31.894355736850827, -106.42550394735456",5050A Yvette Drive El Paso El Paso Texas
"38.810187216678216, -77.04465349130356","517 N SAINT ASAPH ST, ALEXANDRIA HEALTH Alexandria Alexandria City Virginia"
"43.599610993143926, -116.35264257577113","520 S. EAGLE ROAD,  MERIDIAN Not in a city Ada Idaho"
"33.923751022479905, -118.3712025319457","5234 W. 120TH ST., HAWTHORNE Hawthorne Los Angeles California"
"32.79000646014079, -116.94398418965439",533 First Street El Cajon San Diego California
"34.25206483583725, -119.14354576077127","545 CENTRAL AVENUE, OXNARD, CA  93030 Not in a city Ventura California"
"38.0063702313152, -121.64324943180587",5551 BETHEL ISLAND RD Bethel Island Contra Costa California
"35.35644742443488, -119.06281974724385","5558 California Ave., Bakersfield CA 93309 Bakersfield Kern California"
"40.75251176625319, -73.75936220286674",56TH AVE AT SPRINGFIELD BLVD New York Queens New York
"40.82742880960827, -73.0566861893728",57 DIVISION STREET Holtsville Suffolk New York
"38.02931388682748, -121.8969601318051","583 W. 10TH ST., PITTSBURG Pittsburg Contra Costa California"
"34.000843892838056, -117.4152408049612","5888 MISSION BLVD., RUBIDOUX Rubidoux Riverside California"
"39.310664991157935, -76.47404134524885",600 Dorsey Avenue Essex Baltimore Maryland
"38.868680271714275, -77.14222480293792",6100 ARLINGTON BLVD MONTG WARD Seven Corners Fairfax Virginia
"35.150600492166646, -89.85003076074165",6388 Haley Rd. (Shelby Farms NCORE site) Memphis Shelby Tennessee
"38.83761101142317, -77.16367251642998",6507 COLUMBIA PIKE Annandale Fairfax Virginia
"40.24644860564335, -76.84594857219535","651 Gibson Blvd., Harrisburg, PA 17104 Not in a city Dauphin Pennsylvania"
"34.03485083836929, -118.21115042030556",651 S. MOTT STREET (SB 25 TRAILER) Los Angeles Los Angeles California
"37.761161128249945, -122.19193247414192",6701 INTERNATIONAL BLVD Oakland Alameda California
"37.47718777587454, -97.36520824521376","707 E 119TH ST SOUTH,PECK COMMUNITY BLDG Not in a city Sumner Kansas"
"29.35375279712474, -98.33320720324656",7145 Gardner Roas Not in a city Bexar Texas
"37.781553661294055, -87.07386651646848",716 PLEASANT VALLEY ROAD Not in a city Daviess Kentucky
"40.77653046251993, -124.17841363170213",717 SOUTH AVENUE Eureka Humboldt California
"33.95326236530314, -118.4201807319447",7201 W. WESTCHESTER PARKWAY Los Angeles Los Angeles California
"38.061233882431836, -85.89726253736723","7201 WATSON LN, WATSON LN ELEMENTARY SCH Louisville Jefferson Kentucky"
"29.685755527582494, -95.29474163021918",7421 Park Place Blvd Houston Harris Texas
"42.14122725709502, -87.79917573164848",750 DUNDEE ROAD Northbrook Cook Illinois
"39.31218078225988, -82.12180277408505",7760 BLACKBURN ROAD Athens Athens Ohio
"38.71032615224855, -121.37379262883636","7823 BLACKFOOT WAY, NORTH HIGHLANDS Not in a city Sacramento California"
"46.69707622304465, -68.03343901611237","8 NORTHERN ROAD, PRESQUE ISLE, ME 04769 Presque Isle Aroostook Maine"
"31.768110161333805, -106.45415761852196",800 S San Marcial Street El Paso El Paso Texas
"29.40755552878455, -98.43202386091782",802 Pecan Valley Drive San Antonio Bexar Texas
"64.84521732649479, -147.7260026882155",809 Pioneer Road Fairbanks Fairbanks North Star  Alaska
"43.32094127023813, -75.283461664851","8301 ACKERSON ROAD, Pinnacle State Park Not in a city Steuben New York"
"34.09400878360925, -80.96084063379456",8311 PARKLANE ROAD [Parklane] Dentsville (Dents) Richland South Carolina
"32.631532568732524, -117.05802077431386","84 E. 'J' ST., CHULA VISTA Chula Vista San Diego California"
"35.290607731843544, -84.94702828957331",8401 HIGHWAY 60 Not in a city Meigs Tennessee
"40.598385604867474, -111.89473518938166",8449 S. Monroe St. Midvale Salt Lake Utah
"42.995134220820816, -108.3729889892868","90 GAS HILL ROAD, RIVERTON, WY Riverton Fremont Wyoming"
"45.14315429026263, -93.2221400891975",9399 Lima St Blaine Anoka Minnesota
"29.73420226485925, -95.25809678789057",9525 1/2 Clinton Dr Houston Harris Texas
"43.60933616428171, -72.98214254693438","96 STATE STREET, Rutland, Vermont Rutland Rutland Vermont"
"38.71956920084326, -90.36690958945246","9630 ST CHAS ROCK RD, BREKENRIDGE 63314 Breckenridge Hills Saint Louis Missouri"
"40.04737858639982, -76.28428756293061",ABRAHAM LINCOLN JR HIGH GROFFTOWN RD Lancaster Lancaster Pennsylvania
"39.85326125818869, -109.11608951669021","Accessed from Dragon Road/145-S, Uintah Co, UT Not in a city Uintah Utah"
"37.09747529938245, -76.3848681643233","Adjacent to Building 1196, Wythe Landing Loop, NASA-Langley Research Center Hampton Hampton City Virginia"
"41.07026466481627, -81.92746204703613",BALLASH ROAD Not in a city Medina Ohio
"38.65659853575194, -90.19857468945483","BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107 St. Louis St. Louis City Missouri"
"40.4458215741325, -80.0182281182239",CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD Pittsburgh Allegheny Pennsylvania
"37.0117898828825, -122.19419018951405",Center St Davenport Santa Cruz California
"40.13864138885237, -79.90139151795832",CHARLER01 WASTE TREATMENT PLANT Charleroi Washington Pennsylvania
"41.266011766071614, -75.84582517586479",CHILWICK & WASHINGTON STS Wilkes-Barre Luzerne Pennsylvania
"39.92506745034152, -75.09494153966233",COPEWOOD E. DAVIS STS; TRAILER Camden Camden New Jersey
"39.68105689344638, -97.08582460137514",COUNTY RD 1103 .7 MI SOUTH OF K-52 Not in a city Linn Kansas
"41.00732240683451, -80.32597371923966",CROTON ST & JEFFERSON ST. New Castle Lawrence Pennsylvania
"38.89031579400079, -77.46847490108259",CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT Not in a city Fairfax Virginia
"38.611424455617964, -121.3687118158968","DEL PASO-2701 AVALON DR, SACRAMENTO Arden-Arcade Sacramento California"
"40.3053050249486, -79.5055777280113",DONOHOE ROAD - PENN DOT MAINT DIST BLDG Greensburg Westmoreland Pennsylvania
"38.06580971529702, -122.14660440296736","E SECOND ST, BENICIA Benicia Solano California"
"41.49886841159295, -81.67992393167394",E. 14TH & ORANGE Cleveland Cuyahoga Ohio
"40.749110808811295, -80.3187893875214",EIGHT STREET AND RIVER ALLEY Beaver Falls Beaver Pennsylvania
"38.06492091107796, -84.4985622894764","FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE Lexington-Fayette (corporate name for Lexington) Fayette Kentucky"
"38.4599330053821, -82.64062758760757","FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET Ashland Boyd Kentucky"
"41.84209211383838, -71.36019684515135","FRANCIS SCHOOL, 64 BOURNE AVE East Providence Providence Rhode Island"
"41.447329178501036, -75.61727116051239",GEORGE ST TROOP AND CITY OF SCRANTON Scranton Lackawanna Pennsylvania
"35.63496254850304, -83.94175646068275",GREAT SMOKY MOUNTAINS NP LOOK ROCK Not in a city Blount Tennessee
"42.338958950291, -71.07035781814955",HARRISON AVE Boston Suffolk Massachusetts
"37.28301475354738, -79.88272000299541",HERMAN HORN ELEMENTARY SCHOOL Vinton Roanoke Virginia
"39.959958513821555, -76.69928414151538",HILL ST. York York Pennsylvania
"39.06799379012819, -76.89729326344752","Howard University's Beltsville Laboratory, 12003 Old Baltimore Pike Beltsville Prince George's Maryland"
"37.06084346531781, -88.57710553183962","JACKSON PURCHASE RECC, 2901 POWELL STREET Paducah McCracken Kentucky"
"38.65134131158571, -90.35035941643689","LADUE: 73 Hunter Avenue, Ladue, MO 63105 Ladue Saint Louis Missouri"
"38.93287881641465, -77.1986085336264",LEWINSVILLE 1437 BALLS HILL RD McLean Fairfax Virginia
"40.730028836717395, -74.14554617217678","LEXINGTON & E. FERRY STS., NEWARK Newark Essex New Jersey"
"34.46029624289804, -120.02446602752799",LFC #1-LAS FLORES CANYON Capitan Santa Barbara California
"38.673561138733625, -90.23883064712687","MARGARETTA: 4520 Margaretta, St. Louis, MO 63115 St. Louis St. Louis City Missouri"
"41.76933715597078, -75.8971336663631",MILLER AUTO SHOP 1 MESSENGER ST Johnstown Cambria Pennsylvania
"39.74006947112263, -75.55748581639634",MLK BLVD AND JUSTISON ST. Wilmington New Castle Delaware
"36.760232843375654, -119.7866650356739",MOBILE Fresno Fresno California
"41.838366857482036, -73.31517662002413",MOHAWK MOUNTAIN ROAD (see coordinates) Cornwall Litchfield Connecticut
"41.76620339058336, -110.98693970406767",Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER Not in a city Uinta Wyoming
"39.92360655760754, -77.29888009836897",NARSTO SITE - ARENDTSVILLE Not in a city Adams Pennsylvania
"39.78903362073406, -86.05925612192136","NAVAL AVIONICS CENTER, 6125 E. 16TH ST. Indianapolis (Remainder) Marion Indiana"
"41.14772291116132, -104.83969842520898",NCore - North Cheyenne Soccer Complex Not in a city Laramie Wyoming
"33.553163660637175, -86.81494751846658","NO. B'HAM,SOU R.R., 3009 28TH ST. NO. Birmingham Jefferson Alabama"
"37.8485514565585, -87.5826713011207",NORTH GREEN STREET Henderson Henderson Kentucky
"35.87855880176357, -94.96748301838977","P.O. BOX 948   TAHLEQUAH, OK  74464 Park Hill Cherokee Oklahoma"
"42.99670461721108, -71.45403727208684",PEARL ST Manchester Hillsborough New Hampshire
"34.756228539179055, -92.2818650328375",PIKE AVE AT RIVER ROAD North Little Rock Pulaski Arkansas
"39.708451546775265, -78.99004395872487","Piney Run, Frostburg Reservoir, Finzel Grantsville Garrett Maryland"
"45.48947654111808, -122.5931984969852",Portland - Brooklyn Yard - (PBY) SE 24th and SE Harold (PSU operated) Portland Multnomah Oregon
"36.3460359223707, -97.8035530444772","QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI Miami Ottawa Oklahoma"
"40.73885907132786, -73.81760746053999",Queens College   65-30 Kissena Blvd  Parking Lot#6 New York Queens New York
"41.786693166003424, -72.62934908933525",Remington Road (see coordinates) East Hartford Hartford Connecticut
"40.1102431088185, -74.88156883358215",ROCKVIEW LANE Bristol Bucks Pennsylvania
"36.7116898501445, -97.08582613871138","RT 1, BOX 1980  PONCA CITY, OK  74601 Ponca City Kay Oklahoma"
"45.496885802608205, -122.60293743150976",SE LAFAYETTE/5824 SE LAFAYETTE Portland Multnomah Oregon
"39.59231939169708, -109.40907691292125",Seep Ridge Road Not in a city Uintah Utah
"41.11664094794337, -73.33159916052523",SHERWOOD ISLAND STATE PARK Westport Fairfield Connecticut
"35.74811604959209, -94.66440056893306","South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma Cherry Tree Adair Oklahoma"
"40.11254206993116, -75.30944299918228",STATE ARMORY - 1046 BELVOIR RD Norristown Montgomery Pennsylvania
"34.75358566116402, -120.52412231449951","STS POWER PLANT, VANDENBERG AFB Vandenberg Air Force Base Santa Barbara California"
"38.53324659947938, -90.38301779047335","Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126 Sunset Hills Saint Louis Missouri"
"41.60652226337611, -109.76594923517278",Tata Gaseous Not in a city Sweetwater Wyoming
"40.34755709505326, -75.9293192673858",UGI CO MONGANTOWN RD AND PROSPECT ST Reading Berks Pennsylvania
"37.965758947372535, -122.34271081207666","UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo San Pablo Contra Costa California"
"43.07534929340533, -87.88142982718428","UWM NORTH CAMPUS, 2114 E KENWOOD BLVD Milwaukee Milwaukee Wisconsin"
"40.731703633447566, -106.28279217140057","Walden, Colorado - Chandler Ranch Not in a city Jackson Colorado"
"40.63139409584905, -75.34159078328065",WASHINGTON & CAMBRIA STS. FREEMANSBURG Freemansburg Northampton Pennsylvania
