Address,City,County,State,Coordinate
158B JACKSON ST,San Jose,Santa Clara,California,"37.34855420708579, -121.8951364895021"
Center St,Davenport,Santa Cruz,California,"37.0117898828825, -122.19419018951405"
"E SECOND ST, BENICIA",Benicia,Solano,California,"38.06580971529702, -122.14660440296736"
304 TUOLUMNE ST.,Vallejo,Solano,California,"38.10264533870589, -122.23820373365682"
"545 CENTRAL AVENUE, OXNARD, CA  93030",rural,Ventura,California,"34.25206483583725, -119.14354576077127"
3174 E. 78TH AVE.,Welby,Adams,Colorado,"39.83840493539346, -104.9501440894107"
2105 BROADWAY,Denver,Denver,Colorado,"39.75141848706689, -104.98764770290501"
4545 Navajo St.,Denver,Denver,Colorado,"39.779020087149526, -105.00476877406756"
"Walden, Colorado - Chandler Ranch",rural,Jackson,Colorado,"40.731703633447566, -106.28279217140057"
SHERWOOD ISLAND STATE PARK,Westport,Fairfield,Connecticut,"41.11664094794337, -73.33159916052523"
Remington Road,East Hartford,Hartford,Connecticut,"41.786693166003424, -72.62934908933525"
MOHAWK MOUNTAIN ROAD,Cornwall,Litchfield,Connecticut,"41.838366857482036, -73.31517662002413"
1JAMES STREET,New Haven,New Haven,Connecticut,"41.30168213115011, -72.901930574009"
MLK BLVD AND JUSTISON ST.,Wilmington,New Castle,Delaware,"39.74006947112263, -75.55748581639634"
"2500 1ST STREET, N.W. WASHINGTON DC",Washington,District of Columbia,District Of Columbia,"38.90069971188423, -77.05349886060945"
"420 34th Street N.E.,Washington, DC 20019",Washington,District of Columbia,District Of Columbia,"38.89561007619972, -76.95851854526424"
"1167 N Dover Road, Valrico, FL 33527",Valrico,Hillsborough,Florida,"27.95503039218456, -82.23039218793905"
"213 S. Denning Ave, Winter Park, FL 32789",Winter Park,Orange,Florida,"28.59562293884788, -81.36137084744905"
"2390-B Wildcat Road, Decatur GA 30034",rural,DeKalb,Georgia,"33.68640204705342, -84.28855426078962"
2052 LAUWILIWILI ST,rural,Honolulu,Hawaii,"21.323927567219627, -158.0887019611089"
"520 S. EAGLE ROAD,  MERIDIAN",rural,Ada,Idaho,"43.599610993143926, -116.35264257577113"
1703 STATE ST.,Calumet City ,Cook,Illinois,"41.62997275698565, -87.56679656050515"
321 S. FRANKLIN,Chicago,Cook,Illinois,"41.87775147381762, -87.63493167584078"
1820 S. 51ST AVE.,Cicero,Cook,Illinois,"41.85587651142383, -87.7522079451508"
750 DUNDEE ROAD,Northbrook,Cook,Illinois,"42.14122725709502, -87.79917573164848"
13TH & TUDOR,East Saint Louis,Saint Clair,Illinois,"38.628951028633125, -90.14134670866855"
"3120 E. 30TH ST., WASHINGTON PARK",Indianapolis,Marion,Indiana,"39.81134190803732, -86.11587012698189"
"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indianapolis ,Marion,Indiana,"39.78903362073406, -86.05925612192136"
"1907 CARPENTER, DES MOINES IOWA",Des Moines,Polk,Iowa,"41.60325740081944, -93.64327214701524"
10TH ST. & VINE ST. DAVENPORT,Davenport,Scott,Iowa,"41.5300354419609, -90.58737858934543"
COUNTY RD 1103 .7 MI SOUTH OF K-52,rural,Linn,Kansas,"39.68105689344638, -97.08582460137514"
"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG",rural,Sumner,Kansas,"37.47718777587454, -97.36520824521376"
"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas City,Wyandotte,Kansas,"39.11774947412166, -94.6330743322801"
32ND & RAILROAD STS.,Ashland,Boyd,Kentucky,"38.46634197747051, -82.62148413178909"
"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Ashland,Boyd,Kentucky,"38.4599330053821, -82.64062758760757"
716 PLEASANT VALLEY ROAD,rural,Daviess,Kentucky,"37.781553661294055, -87.07386651646848"
"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Lexington-Fayette,Fayette,Kentucky,"38.06492091107796, -84.4985622894764"
NORTH GREEN STREET,Henderson,Henderson,Kentucky,"37.8485514565585, -87.5826713011207"
"2730 CANNONS LANE, BOWMAN FIELD",Louisville,Jefferson,Kentucky,"38.22845643490911, -85.65312591968274"
"7201 WATSON LN, WATSON LN ELEMENTARY SCH",Louisville,Jefferson,Kentucky,"38.061233882431836, -85.89726253736723"
"JACKSON PURCHASE RECC, 2901 POWELL STREET",Paducah,McCracken,Kentucky,"37.06084346531781, -88.57710553183962"
1061-A Leesville Ave,Baton Rouge,East Baton Rouge,Louisiana,"30.462173088652545, -91.17924956088787"
100 West Temple Pl,Kenner,Jefferson,Louisiana,"30.041156914484077, -90.27399400508172"
"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Presque Isle,Aroostook,Maine,"46.69707622304465, -68.03343901611237"
"356 State Street, Portland,  Maine",Portland,Cumberland,Maine,"43.65961966032101, -70.26962206042332"
600 Dorsey Avenue,Essex,Baltimore,Maryland,"39.310664991157935, -76.47404134524885"
"Piney Run, Frostburg Reservoir, Finzel",Grantsville,Garrett,Maryland,"39.708451546775265, -78.99004395872487"
"Howard University's Beltsville Laboratory, 12003 Old Baltimore Pike",Beltsville,Prince George's,Maryland,"39.06799379012819, -76.89729326344752"
HARRISON AVE,Boston,Suffolk,Massachusetts,"42.338958950291, -71.07035781814955"
1179 MONROE  (GRAND RAPIDS),Grand Rapids,Kent,Michigan,"42.98458925082635, -85.67118067208733"
2451 MARQUETTE,Detroit,Wayne,Michigan,"42.35804556415518, -83.09520058745805"
9399 Lima St,Blaine,Anoka,Minnesota,"45.14315429026263, -93.2221400891975"
232 East Woodrow Wilson Drive,Jackson,Hinds,Mississippi,"32.327350792796565, -90.18408780315958"
"9630 ST CHAS ROCK RD, BREKENRIDGE 63314",Breckenridge Hills,Saint Louis,Missouri,"38.71956920084326, -90.36690958945246"
3400 PERSHALL ROAD,Ferguson,Saint Louis,Missouri,"38.768425908692016, -90.28833797410526"
"LADUE: 73 Hunter Avenue, Ladue, MO 63105",Ladue,Saint Louis,Missouri,"38.65134131158571, -90.35035941643689"
305 WEIDMAN ROAD (QUEENY),rural,Saint Louis,Missouri,"38.58988871970228, -90.49310393178455"
10267 ST CHARLES ROCK ROAD,St. Ann,Saint Louis,Missouri,"38.72812016829071, -90.37935971828853"
"Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126",Sunset Hills,Saint Louis,Missouri,"38.53324659947938, -90.38301779047335"
"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",St. Louis,St. Louis City,Missouri,"38.65659853575194, -90.19857468945483"
"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115",St. Louis,St. Louis City,Missouri,"38.673561138733625, -90.23883064712687"
1005 INDUSTRIAL ROAD,Boulder City,Clark,Nevada,"35.9780121462929, -114.84713320489533"
4250 Karen Ave,Sunrise Manor,Clark,Nevada,"36.1415326925398, -115.08207004536258"
1260-A Stewart St.,Reno,Washoe,Nevada,"39.52201766803818, -119.79528668756824"
"301 A STATE STREET, RENO, NV 89502",Reno,Washoe,Nevada,"39.525415483908766, -119.80755925687721"
PEARL ST,Manchester,Hillsborough,New Hampshire,"42.99670461721108, -71.45403727208684"
150 Pillsbury Rd,Londonderry,Rockingham,New Hampshire,"42.863589978781654, -71.37956647394684"
266-298 Spruce Street,Camden,Camden,New Jersey,"39.934674730817726, -75.12478708940705"
COPEWOOD E. DAVIS STS; TRAILER,Camden,Camden,New Jersey,"39.92506745034152, -75.09494153966233"
360 Clinton Avenue,Newark,Essex,New Jersey,"40.72147323452984, -74.19322831635886"
"LEXINGTON & E. FERRY STS., NEWARK",Newark,Essex,New Jersey,"40.730028836717395, -74.14554617217678"
4700A SAN MATEO NE,Albuquerque,Bernalillo,New Mexico,"35.13498088711619, -106.58537537423307"
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,"40.86638850539657, -73.8827068451896"
200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,"40.866278137878865, -73.88267286053498"
"2 YARMOUTH ROAD, RG&E Substation",Rochester,Monroe,New York,"43.1537530095412, -77.60432121626225"
56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,"40.75251176625319, -73.75936220286674"
Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,"40.73885907132786, -73.81760746053999"
"8301 ACKERSON ROAD, Pinnacle State Park",rural,Steuben,New York,"43.32094127023813, -75.283461664851"
57 DIVISION STREET,Holtsville,Suffolk,New York,"40.82742880960827, -73.0566861893728"
1300 BLK. HATTIE AVENUE,Winston-Salem,Forsyth,North Carolina,"36.111112499826575, -80.2240466300182"
1130 EASTWAY DRIVE,Charlotte,Mecklenburg,North Carolina,"35.24104429934847, -80.77900981841128"
3801 SPRING FOREST RD.,Raleigh,Wake,North Carolina,"35.856925387796366, -78.57643951653594"
1810 N 16TH STREET,Bismarck,Burleigh,North Dakota,"46.825388885153195, -100.76831026028857"
4266 40TH AVE NORTH,rural,Cass,North Dakota,"46.93431635372374, -96.86108555952715"
7760 BLACKBURN ROAD,Athens,Athens,Ohio,"39.31218078225988, -82.12180277408505"
E. 14TH & ORANGE,Cleveland,Cuyahoga,Ohio,"41.49886841159295, -81.67992393167394"
250 WM. HOWARD TAFT,Cincinnati,Hamilton,Ohio,"39.12914693777015, -84.50380536060095"
BALLASH ROAD,rural,Medina,Ohio,"41.07026466481627, -81.92746204703613"
"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",Cherry Tree,Adair,Oklahoma,"35.74811604959209, -94.66440056893306"
"P.O. BOX 948   TAHLEQUAH, OK  74464",Park Hill,Cherokee,Oklahoma,"35.87855880176357, -94.96748301838977"
"RT 1, BOX 1980  PONCA CITY, OK  74601",Ponca City,Kay,Oklahoma,"36.7116898501445, -97.08582613871138"
2501 E. Memorial Rd.  (OKLAHOMA CHRISTIAN UNIVERSITY),Oklahoma City,Oklahoma,Oklahoma,"35.612754006233885, -97.46980443188971"
"QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI",Miami,Ottawa,Oklahoma,"36.3460359223707, -97.8035530444772"
3520 1/2 N. PEORIA,Tulsa,Tulsa,Oklahoma,"36.15999572691124, -95.97532901838008"
Portland - Brooklyn Yard - (PBY) SE 24th and SE Harold (PSU operated),Portland,Multnomah,Oregon,"45.48947654111808, -122.5931984969852"
SE LAFAYETTE/5824 SE LAFAYETTE,Portland,Multnomah,Oregon,"45.496885802608205, -122.60293743150976"
NARSTO SITE - ARENDTSVILLE,rural,Adams,Pennsylvania,"39.92360655760754, -77.29888009836897"
"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pittsburgh,Allegheny,Pennsylvania,"40.46553170830298, -79.96060266055042"
CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pittsburgh,Allegheny,Pennsylvania,"40.4458215741325, -80.0182281182239"
EIGHT STREET AND RIVER ALLEY,Beaver Falls,Beaver,Pennsylvania,"40.749110808811295, -80.3187893875214"
UGI CO MONGANTOWN RD AND PROSPECT ST,Reading,Berks,Pennsylvania,"40.34755709505326, -75.9293192673858"
1059 Arnold Road,rural,Berks,Pennsylvania,"40.38372824711354, -75.96907208938998"
2ND AVE & 7TH ST,Altoona,Blair,Pennsylvania,"40.51514730019535, -78.38861138938488"
ROCKVIEW LANE,Bristol,Bucks,Pennsylvania,"40.1102431088185, -74.88156883358215"
MILLER AUTO SHOP 1 MESSENGER ST,Johnstown,Cambria,Pennsylvania,"41.76933715597078, -75.8971336663631"
"651 Gibson Blvd., Harrisburg, PA 17104",rural,Dauphin,Pennsylvania,"40.24644860564335, -76.84594857219535"
10TH AND MARNE STREETS,Erie,Erie,Pennsylvania,"42.1420779422881, -80.03828927397576"
GEORGE ST TROOP AND CITY OF SCRANTON,Scranton,Lackawanna,Pennsylvania,"41.447329178501036, -75.61727116051239"
ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Lancaster,Lancaster,Pennsylvania,"40.04737858639982, -76.28428756293061"
CROTON ST & JEFFERSON ST.,New Castle,Lawrence,Pennsylvania,"41.00732240683451, -80.32597371923966"
CHILWICK & WASHINGTON STS,Wilkes-Barre,Luzerne,Pennsylvania,"41.266011766071614, -75.84582517586479"
STATE ARMORY - 1046 BELVOIR RD,Norristown,Montgomery,Pennsylvania,"40.11254206993116, -75.30944299918228"
WASHINGTON & CAMBRIA STS. FREEMANSBURG,Freemansburg,Northampton,Pennsylvania,"40.63139409584905, -75.34159078328065"
1501 E. LYCOMING AVE.,Philadelphia,Philadelphia,Pennsylvania,"40.00905913674286, -75.09801457405884"
"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",Philadelphia,Philadelphia,Pennsylvania,"39.992206600656125, -75.07859107110087"
CHARLER01 WASTE TREATMENT PLANT,Charleroi,Washington,Pennsylvania,"40.13864138885237, -79.90139151795832"
DONOHOE ROAD - PENN DOT MAINT DIST BLDG,Greensburg,Westmoreland,Pennsylvania,"40.3053050249486, -79.5055777280113"
HILL ST.,York,York,Pennsylvania,"39.959958513821555, -76.69928414151538"
"FRANCIS SCHOOL, 64 BOURNE AVE",East Providence,Providence,Rhode Island,"41.84209211383838, -71.36019684515135"
390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],rural,Charleston,South Carolina,"32.945856620654595, -79.66281856462804"
8311 PARKLANE ROAD [Parklane],Dentsville (Dents),Richland,South Carolina,"34.09400878360925, -80.96084063379456"
2001 E 8th St,Sioux Falls,Minnehaha,South Dakota,"43.54762697624329, -96.70065175300999"
4801 N Career Ave,Sioux Falls,Minnehaha,South Dakota,"43.60045789106615, -96.78145083158934"
31986 475th Ave,rural,Union,South Dakota,"43.40646143866417, -96.70745960090649"
GREAT SMOKY MOUNTAINS NP LOOK ROCK,rural,Blount,Tennessee,"35.63496254850304, -83.94175646068275"
1741 HILLVILLE LOOP ROAD,rural,Haywood,Tennessee,"35.46791908076499, -89.17138043189459"
8401 HIGHWAY 60,rural,Meigs,Tennessee,"35.290607731843544, -84.94702828957331"
6388 Haley Rd. (Shelby Farms NCORE site),Memphis,Shelby,Tennessee,"35.150600492166646, -89.85003076074165"
7145 Gardner Roas,rural,Bexar,Texas,"29.35375279712474, -98.33320720324656"
802 Pecan Valley Drive,San Antonio,Bexar,Texas,"29.40755552878455, -98.43202386091782"
1415 Hinton Street,Dallas,Dallas,Texas,"32.81926410076487, -96.85717151848974"
250 Rim Rd,El Paso,El Paso,Texas,"31.771095283409444, -106.49672768968559"
5050A Yvette Drive,El Paso,El Paso,Texas,"31.894355736850827, -106.42550394735456"
800 S San Marcial Street,El Paso,El Paso,Texas,"31.768110161333805, -106.45415761852196"
4514 1/2 Durant St,Deer Park,Harris,Texas,"29.66966879741177, -95.12774628974675"
7421 Park Place Blvd,Houston,Harris,Texas,"29.685755527582494, -95.29474163021918"
9525 1/2 Clinton Dr,Houston,Harris,Texas,"29.73420226485925, -95.25809678789057"
4472 Mazanec Rd,Waco,McLennan,Texas,"31.653371663110345, -97.07032171667107"
3824 North Hills Drive,Austin,Travis,Texas,"30.3551804092754, -97.76140120507276"
290 S. 1000 W.,Roosevelt,Duchesne,Utah,"40.295889178512056, -110.00920997404786"
8449 S. Monroe St.,Midvale,Salt Lake,Utah,"40.598385604867474, -111.89473518938166"
1250 NORTH 1400 WEST,Salt Lake City,Salt Lake,Utah,"40.79406138690108, -111.93154639122865"
"1675 SOUTH 600 EAST, SALT LAKE CITY",Salt Lake City,Salt Lake,Utah,"40.73419408760083, -111.87287683144888"
240 N 1950 W,Salt Lake City,Salt Lake,Utah,"40.77757530661432, -111.94601853170198"
"Accessed from Dragon Road/145-S, Uintah Co, UT",rural,Uintah,Utah,"39.85326125818869, -109.11608951669021"
Seep Ridge Road,rural,Uintah,Utah,"39.59231939169708, -109.40907691292125"
"96 STATE STREET, Rutland, Vermont",Rutland,Rutland,Vermont,"43.60933616428171, -72.98214254693438"
"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH",Alexandria,Alexandria City,Virginia,"38.810187216678216, -77.04465349130356"
3200 Colvin Street,rural,Alexandria City,Virginia,"38.8068133049573, -77.08556331279284"
6507 COLUMBIA PIKE,Annandale,Fairfax,Virginia,"38.83761101142317, -77.16367251642998"
LEWINSVILLE 1437 BALLS HILL RD,McLean,Fairfax,Virginia,"38.93287881641465, -77.1986085336264"
CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT,rural,Fairfax,Virginia,"38.89031579400079, -77.46847490108259"
6100 ARLINGTON BLVD MONTG WARD,Seven Corners,Fairfax,Virginia,"38.868680271714275, -77.14222480293792"
"Adjacent to Building 1196, Wythe Landing Loop, NASA-Langley Research Center",Hampton,Hampton City,Virginia,"37.09747529938245, -76.3848681643233"
2401 HARTMAN STREET  MATH & SCIENCE CTR,East Highland Park,Henrico,Virginia,"37.5567903831381, -77.40008093367643"
HERMAN HORN ELEMENTARY SCHOOL,Vinton,Roanoke,Virginia,"37.28301475354738, -79.88272000299541"
4103 BEACON HILL S,Seattle,King,Washington,"47.56789906797098, -122.30692546850615"
2300 N M. L. KING JR DR,Milwaukee,Milwaukee,Wisconsin,"43.060862747277646, -87.91367321626605"
"UWM NORTH CAMPUS, 2114 E KENWOOD BLVD",Milwaukee,Milwaukee,Wisconsin,"43.07534929340533, -87.88142982718428"
"90 GAS HILL ROAD, RIVERTON, WY",Riverton,Fremont,Wyoming,"42.995134220820816, -108.3729889892868"
NCore - North Cheyenne Soccer Complex,rural,Laramie,Wyoming,"41.14772291116132, -104.83969842520898"
Tata Gaseous,rural,Sweetwater,Wyoming,"41.60652226337611, -109.76594923517278"
Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,rural,Uinta,Wyoming,"41.76620339058336, -110.98693970406767"
